Date,Soil Moisture (%),Relative Light Intensity (ADC Units),Humidity (%),Temperature (°C),timestamp,soil_moisture_pct,humidity_pct,temperature_c,light_adc,light_norm,hour,dayofweek,month,soil_moisture_lag1,soil_moisture_lag2,soil_moisture_lag3,soil_moisture_lag6,soil_moisture_roll6,vpd_kpa,dew_point_c,heat_flag,frost_flag,moist_roll6,waterlog_flag,dryspell_flag,disease_risk,soil_moisture_pct_stuck,temperature_c_stuck,humidity_pct_stuck,light_adc_stuck,sensor_issue_flag,site_id_Ikorodu,site_id_Ogun,site_id_Osun,site_id_Unilag
2025-08-02 11:22:07,0,4084,40.5,38.9,2025-08-02 11:22:07+00:00,0,40.5,38.9,4084,0.9973137973137973,12,5,8,,,,,,4.1376447323037695,23.040811342980042,1,0,,0,0,0.0,1,1,1,1,1,True,False,False,False
2025-08-02 11:22:17,0,4084,41.0,38.6,2025-08-02 11:22:17+00:00,0,41.0,38.6,4084,0.9973137973137973,12,5,8,0.0,,,,0.0,4.037210885012535,22.97692778405041,1,0,,0,0,0.0,1,1,1,1,1,True,False,False,False
2025-08-02 11:22:28,0,4083,41.5,38.4,2025-08-02 11:22:28+00:00,0,41.5,38.4,4083,0.9970695970695971,12,5,8,0.0,0.0,,,0.0,3.9600950735480764,22.999179581516305,1,0,0.0,0,1,0.0,1,1,1,1,1,True,False,False,False
2025-08-02 11:22:39,0,4093,41.7,38.0,2025-08-02 11:22:39+00:00,0,41.7,38.0,4093,0.9995115995115995,12,5,8,0.0,0.0,0.0,,0.0,3.8622336935551775,22.721884129647634,1,0,0.0,0,1,0.0,1,1,1,1,1,True,False,False,False
2025-08-02 11:22:50,0,4092,42.6,37.8,2025-08-02 11:22:50+00:00,0,42.6,37.8,4092,0.9992673992673993,12,5,8,0.0,0.0,0.0,,0.0,3.761679416236844,22.895735680914676,1,0,0.0,0,1,0.0,1,1,1,1,1,True,False,False,False
2025-08-02 11:23:01,0,4095,42.7,37.5,2025-08-02 11:23:01+00:00,0,42.7,37.5,4095,1.0,12,5,8,0.0,0.0,0.0,,0.0,3.6945497971988033,22.666005635519934,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:23:13,0,4095,43.7,37.5,2025-08-02 11:23:13+00:00,0,43.7,37.5,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.630072488347166,23.048316734687642,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:23:23,0,4095,43.8,37.3,2025-08-02 11:23:23+00:00,0,43.8,37.3,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5844785631154705,22.90655035033144,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:23:34,0,4093,44.3,37.3,2025-08-02 11:23:34+00:00,0,44.3,37.3,4093,0.9995115995115995,12,5,8,0.0,0.0,0.0,0.0,0.0,3.552588184440066,23.094217492097542,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:23:46,0,4022,43.8,37.2,2025-08-02 11:23:46+00:00,0,43.8,37.2,4022,0.9821733821733821,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5650431793778004,22.81675710371571,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:23:57,0,4086,44.2,36.9,2025-08-02 11:23:57+00:00,0,44.2,36.9,4086,0.9978021978021978,12,5,8,0.0,0.0,0.0,0.0,0.0,3.482320704239554,22.697224219303546,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:24:08,0,4092,44.5,36.9,2025-08-02 11:24:08+00:00,0,44.5,36.9,4092,0.9992673992673993,12,5,8,0.0,0.0,0.0,0.0,0.0,3.4635985499156856,22.808849625047085,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:24:19,0,4095,44.4,37.0,2025-08-02 11:24:19+00:00,0,44.4,37.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.488797153414346,22.8616730563658,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:24:30,0,4091,44.0,37.0,2025-08-02 11:24:30+00:00,0,44.0,37.0,4091,0.999023199023199,12,5,8,0.0,0.0,0.0,0.0,0.0,3.513896413510852,22.712294653727863,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:24:41,0,4095,44.2,37.1,2025-08-02 11:24:41+00:00,0,44.2,37.1,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5204628328004275,22.877035158699123,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:24:52,0,4090,44.6,37.1,2025-08-02 11:24:52+00:00,0,44.6,37.1,4090,0.9987789987789988,12,5,8,0.0,0.0,0.0,0.0,0.0,3.495226540092181,23.02592884072847,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:25:03,0,4093,44.4,37.1,2025-08-02 11:25:03+00:00,0,44.4,37.1,4093,0.9995115995115995,12,5,8,0.0,0.0,0.0,0.0,0.0,3.507844686446304,22.951628377376792,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:25:14,0,4095,44.4,37.0,2025-08-02 11:25:14+00:00,0,44.4,37.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.488797153414346,22.8616730563658,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:25:25,0,4095,44.5,37.1,2025-08-02 11:25:25+00:00,0,44.5,37.1,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5015356132692426,22.988815048586524,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:25:36,0,4095,44.1,37.1,2025-08-02 11:25:36+00:00,0,44.1,37.1,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5267719059774896,22.839627986644402,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:25:46,0,4095,43.7,37.0,2025-08-02 11:25:46+00:00,0,43.7,37.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.532720858583231,22.59948076464867,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:25:57,0,4095,43.9,37.0,2025-08-02 11:25:57+00:00,0,43.9,37.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5201712285349784,22.67476484852352,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:26:08,0,4095,44.0,37.0,2025-08-02 11:26:08+00:00,0,44.0,37.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.513896413510852,22.712294653727863,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:26:18,0,4095,43.9,37.0,2025-08-02 11:26:18+00:00,0,43.9,37.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5201712285349784,22.67476484852352,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:26:29,0,4095,44.2,37.0,2025-08-02 11:26:29+00:00,0,44.2,37.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.501346783462599,22.787131387308495,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:26:40,0,4089,43.8,37.0,2025-08-02 11:26:40+00:00,0,43.8,37.0,4089,0.9985347985347985,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5264460435591056,22.63716032597381,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:26:51,0,4095,43.8,37.2,2025-08-02 11:26:51+00:00,0,43.8,37.2,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5650431793778004,22.81675710371571,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:27:01,0,4087,43.5,37.1,2025-08-02 11:27:01+00:00,0,43.5,37.1,4087,0.998046398046398,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5646263450398594,22.613617076826046,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:27:12,0,4085,43.7,37.0,2025-08-02 11:27:12+00:00,0,43.7,37.0,4085,0.9975579975579976,12,5,8,0.0,0.0,0.0,0.0,0.0,3.532720858583231,22.59948076464867,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:27:23,0,4089,44.1,37.0,2025-08-02 11:27:23+00:00,0,44.1,37.0,4089,0.9985347985347985,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5076215984867254,22.749750060910753,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:27:34,0,4087,44.2,36.9,2025-08-02 11:27:34+00:00,0,44.2,36.9,4087,0.998046398046398,12,5,8,0.0,0.0,0.0,0.0,0.0,3.482320704239554,22.697224219303546,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:27:46,0,4089,44.0,36.9,2025-08-02 11:27:46+00:00,0,44.0,36.9,4089,0.9985347985347985,12,5,8,0.0,0.0,0.0,0.0,0.0,3.4948021404554663,22.622439208608856,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:27:57,0,4088,43.9,36.9,2025-08-02 11:27:57+00:00,0,43.9,36.9,4088,0.9982905982905983,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5010428585634226,22.584935336266312,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:28:08,0,4092,43.9,36.9,2025-08-02 11:28:08+00:00,0,43.9,36.9,4092,0.9992673992673993,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5010428585634226,22.584935336266312,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:28:19,0,4092,43.8,36.9,2025-08-02 11:28:19+00:00,0,43.8,36.9,4092,0.9992673992673993,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5072835766713792,22.547356794454995,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:28:30,0,4095,43.7,37.0,2025-08-02 11:28:30+00:00,0,43.7,37.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.532720858583231,22.59948076464867,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:28:41,0,4095,43.6,37.1,2025-08-02 11:28:41+00:00,0,43.6,37.1,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.558317271862798,22.651473822101618,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:28:51,0,4095,43.7,37.3,2025-08-02 11:28:51+00:00,0,43.7,37.3,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5908566388505507,22.868792654579273,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:29:03,0,4095,43.4,37.4,2025-08-02 11:29:03+00:00,0,43.4,37.4,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.6296569214279617,22.84475050134017,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:29:14,0,4095,43.2,37.6,2025-08-02 11:29:14+00:00,0,43.2,37.6,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.682233118157915,22.94775275643552,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:29:24,0,4095,42.8,37.7,2025-08-02 11:29:24+00:00,0,42.8,37.7,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.7283210316656654,22.8836229496378,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:29:35,0,4095,43.0,37.7,2025-08-02 11:29:35+00:00,0,43.0,37.7,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.715284944142359,22.96065507662381,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:29:46,0,4095,42.6,37.7,2025-08-02 11:29:46+00:00,0,42.6,37.7,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.741357119188972,22.80627592238873,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:29:56,0,4095,42.2,37.7,2025-08-02 11:29:56+00:00,0,42.2,37.7,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.7674292942355847,22.650625974839297,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:30:07,0,4095,42.4,37.7,2025-08-02 11:30:07+00:00,0,42.4,37.7,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.7543932067122783,22.728611206320995,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:30:19,0,4095,42.4,37.8,2025-08-02 11:30:19+00:00,0,42.4,37.8,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.77478631315753,22.818017540349278,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:30:30,0,4095,42.5,37.7,2025-08-02 11:30:30+00:00,0,42.5,37.7,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.747875162950625,22.767483451219693,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:30:41,0,4095,42.7,37.8,2025-08-02 11:30:41+00:00,0,42.7,37.8,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.7551259677765008,22.934475366612997,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:30:51,0,4095,42.4,37.9,2025-08-02 11:30:51+00:00,0,42.4,37.9,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.7952752494014375,22.90742033458522,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:31:02,0,4095,41.9,38.0,2025-08-02 11:31:02+00:00,0,41.9,38.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.848984178311421,22.80084576456369,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:31:13,0,4095,41.9,38.1,2025-08-02 11:31:13+00:00,0,41.9,38.1,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.8698454283935004,22.890106897877697,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:31:24,0,4095,41.6,38.3,2025-08-02 11:31:24+00:00,0,41.6,38.3,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.9320606490926764,22.949807705848553,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:31:34,0,4095,41.3,38.5,2025-08-02 11:31:34+00:00,0,41.3,38.5,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,3.995108098254427,23.008417043316477,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:31:45,0,4095,40.9,38.6,2025-08-02 11:31:45+00:00,0,40.9,38.6,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,4.044053615326115,22.936566941212284,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:31:56,0,4095,40.7,38.8,2025-08-02 11:31:56+00:00,0,40.7,38.8,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,4.10163504342812,23.033403814195523,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:32:06,0,4095,41.0,39.0,2025-08-02 11:32:06+00:00,0,41.0,39.0,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,4.124966881114169,23.332880475894303,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:32:17,0,4095,41.4,39.1,2025-08-02 11:32:17+00:00,0,41.4,39.1,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,4.119045643939595,23.582998023716847,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:32:28,0,4095,40.2,39.3,2025-08-02 11:32:28+00:00,0,40.2,39.3,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,4.248701159991833,23.272924669827088,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:32:39,0,4095,40.3,39.3,2025-08-02 11:32:39+00:00,0,40.3,39.3,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,4.241596308553719,23.31409377700569,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:32:49,0,4095,40.5,39.3,2025-08-02 11:32:49+00:00,0,40.5,39.3,4095,1.0,12,5,8,0.0,0.0,0.0,0.0,0.0,4.227386605677492,23.3961652036494,1,0,0.0,0,1,0.0,1,0,0,1,1,True,False,False,False
2025-08-02 11:33:00,0,4094,41.2,39.4,2025-08-02 11:33:00+00:00,0,41.2,39.4,4094,0.9997557997557998,12,5,8,0.0,0.0,0.0,0.0,0.0,4.200082390201402,23.76968007878577,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:33:11,0,4093,42.3,39.4,2025-08-02 11:33:11+00:00,0,42.3,39.4,4093,0.9995115995115995,12,5,8,0.0,0.0,0.0,0.0,0.0,4.121509420316682,24.208628726127333,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:33:22,0,4085,41.9,39.4,2025-08-02 11:33:22+00:00,0,41.9,39.4,4085,0.9975579975579976,12,5,8,0.0,0.0,0.0,0.0,0.0,4.150081409365672,24.050175930127416,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:33:33,0,4081,41.4,39.4,2025-08-02 11:33:33+00:00,0,41.4,39.4,4081,0.9965811965811966,12,5,8,0.0,0.0,0.0,0.0,0.0,4.185796395676908,23.85024344216081,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:33:44,0,4082,41.3,39.4,2025-08-02 11:33:44+00:00,0,41.3,39.4,4082,0.9968253968253968,12,5,8,0.0,0.0,0.0,0.0,0.0,4.192939392939156,23.810004313404725,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:33:55,0,4079,41.4,39.4,2025-08-02 11:33:55+00:00,0,41.4,39.4,4079,0.9960927960927961,12,5,8,0.0,0.0,0.0,0.0,0.0,4.185796395676908,23.85024344216081,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:34:05,0,4079,41.7,39.3,2025-08-02 11:34:05+00:00,0,41.7,39.3,4079,0.9960927960927961,12,5,8,0.0,0.0,0.0,0.0,0.0,4.142128388420131,23.881293844288184,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:34:16,0,4074,41.0,39.3,2025-08-02 11:34:16+00:00,0,41.0,39.3,4074,0.9948717948717949,12,5,8,0.0,0.0,0.0,0.0,0.0,4.191862348486925,23.59980664593698,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:34:27,0,4079,40.9,39.2,2025-08-02 11:34:27+00:00,0,40.9,39.2,4079,0.9960927960927961,12,5,8,0.0,0.0,0.0,0.0,0.0,4.176527234475691,23.47030832324125,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:34:37,0,4077,41.1,39.2,2025-08-02 11:34:37+00:00,0,41.1,39.2,4077,0.9956043956043956,12,5,8,0.0,0.0,0.0,0.0,0.0,4.162393470568836,23.55127531972804,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:34:48,0,4079,41.0,39.1,2025-08-02 11:34:48+00:00,0,41.0,39.1,4079,0.9960927960927961,12,5,8,0.0,0.0,0.0,0.0,0.0,4.147161996457954,23.421859517804272,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:34:59,0,4081,41.4,39.0,2025-08-02 11:34:59+00:00,0,41.4,39.0,4081,0.9965811965811966,12,5,8,0.0,0.0,0.0,0.0,0.0,4.097001003954073,23.4939089800524,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:35:10,0,4086,41.3,39.0,2025-08-02 11:35:10+00:00,0,41.3,39.0,4086,0.9978021978021978,12,5,8,0.0,0.0,0.0,0.0,0.0,4.103992473244097,23.45377957896944,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:35:21,0,4079,41.1,38.9,2025-08-02 11:35:21+00:00,0,41.1,38.9,4079,0.9960927960927961,12,5,8,0.0,0.0,0.0,0.0,0.0,4.095920583742723,23.28425544906484,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:35:31,0,4073,41.1,38.9,2025-08-02 11:35:31+00:00,0,41.1,38.9,4073,0.9946275946275946,12,5,8,0.0,0.0,0.0,0.0,0.0,4.095920583742723,23.28425544906484,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:35:42,0,4084,41.5,38.7,2025-08-02 11:35:42+00:00,0,41.5,38.7,4084,0.9973137973137973,12,5,8,0.0,0.0,0.0,0.0,0.0,4.02459872576361,23.266582980675082,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:35:53,0,4067,41.6,38.6,2025-08-02 11:35:53+00:00,0,41.6,38.6,4067,0.9931623931623932,12,5,8,0.0,0.0,0.0,0.0,0.0,3.9961545031310517,23.21730373099612,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:36:03,0,4077,41.3,38.3,2025-08-02 11:36:03+00:00,0,41.3,38.3,4077,0.9956043956043956,12,5,8,0.0,0.0,0.0,0.0,0.0,3.9522595907832216,22.83024663122156,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:36:14,0,4067,41.9,38.1,2025-08-02 11:36:14+00:00,0,41.9,38.1,4067,0.9931623931623932,12,5,8,0.0,0.0,0.0,0.0,0.0,3.8698454283935004,22.890106897877697,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:36:24,0,4070,41.9,38.0,2025-08-02 11:36:24+00:00,0,41.9,38.0,4070,0.9938949938949939,12,5,8,0.0,0.0,0.0,0.0,0.0,3.848984178311421,22.80084576456369,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:36:35,0,4069,42.7,37.8,2025-08-02 11:36:35+00:00,0,42.7,37.8,4069,0.9936507936507937,12,5,8,0.0,0.0,0.0,0.0,0.0,3.7551259677765008,22.934475366612997,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:36:46,0,4065,42.8,37.8,2025-08-02 11:36:46+00:00,0,42.8,37.8,4065,0.9926739926739927,12,5,8,0.0,0.0,0.0,0.0,0.0,3.7485725193161583,22.973135929992345,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:36:56,0,4069,42.8,37.6,2025-08-02 11:36:56+00:00,0,42.8,37.6,4069,0.9936507936507937,12,5,8,0.0,0.0,0.0,0.0,0.0,3.7081643372998725,22.794106461755167,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:37:07,0,4068,43.0,37.6,2025-08-02 11:37:07+00:00,0,43.0,37.6,4068,0.9934065934065934,12,5,8,0.0,0.0,0.0,0.0,0.0,3.695198727728894,22.871085584026694,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:37:18,0,4068,43.2,37.6,2025-08-02 11:37:18+00:00,0,43.2,37.6,4068,0.9934065934065934,12,5,8,0.0,0.0,0.0,0.0,0.0,3.682233118157915,22.94775275643552,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:37:29,0,4059,43.4,37.6,2025-08-02 11:37:29+00:00,0,43.4,37.6,4059,0.9912087912087912,12,5,8,0.0,0.0,0.0,0.0,0.0,3.6692675085869366,23.024110691822536,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:37:40,0,4065,43.9,37.6,2025-08-02 11:37:40+00:00,0,43.9,37.6,4065,0.9926739926739927,12,5,8,0.0,0.0,0.0,0.0,0.0,3.63685348465949,23.213670098185922,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:37:50,0,4063,43.7,37.5,2025-08-02 11:37:50+00:00,0,43.7,37.5,4063,0.9921855921855922,12,5,8,0.0,0.0,0.0,0.0,0.0,3.630072488347166,23.048316734687642,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:38:01,0,4063,43.8,37.4,2025-08-02 11:38:01+00:00,0,43.8,37.4,4063,0.9921855921855922,12,5,8,0.0,0.0,0.0,0.0,0.0,3.6040056357641603,22.99634016903879,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:38:12,0,4063,43.4,37.2,2025-08-02 11:38:12+00:00,0,43.4,37.2,4063,0.9921855921855922,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5904171521847594,22.66537647184417,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:38:23,0,4059,43.8,37.0,2025-08-02 11:38:23+00:00,0,43.8,37.0,4059,0.9912087912087912,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5264460435591056,22.63716032597381,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:38:34,0,4062,43.8,36.9,2025-08-02 11:38:34+00:00,0,43.8,36.9,4062,0.991941391941392,12,5,8,0.0,0.0,0.0,0.0,0.0,3.5072835766713792,22.547356794454995,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:38:44,0,4064,44.3,36.9,2025-08-02 11:38:44+00:00,0,44.3,36.9,4064,0.9924297924297925,12,5,8,0.0,0.0,0.0,0.0,0.0,3.476079986131598,22.734505989666193,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:38:55,0,4066,44.2,36.9,2025-08-02 11:38:55+00:00,0,44.2,36.9,4066,0.9929181929181929,12,5,8,0.0,0.0,0.0,0.0,0.0,3.482320704239554,22.697224219303546,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:39:06,0,4065,44.3,36.8,2025-08-02 11:39:06+00:00,0,44.3,36.8,4065,0.9926739926739927,12,5,8,0.0,0.0,0.0,0.0,0.0,3.457177460099331,22.64456964238222,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:39:16,0,4069,44.3,36.8,2025-08-02 11:39:16+00:00,0,44.3,36.8,4069,0.9936507936507937,12,5,8,0.0,0.0,0.0,0.0,0.0,3.457177460099331,22.64456964238222,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:39:27,0,4064,44.5,36.7,2025-08-02 11:39:27+00:00,0,44.5,36.7,4064,0.9924297924297925,12,5,8,0.0,0.0,0.0,0.0,0.0,3.4260180279041355,22.628870709490272,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
2025-08-02 11:39:38,0,4069,44.2,36.8,2025-08-02 11:39:38+00:00,0,44.2,36.8,4069,0.9936507936507937,12,5,8,0.0,0.0,0.0,0.0,0.0,3.463384241894841,22.60731365449179,1,0,0.0,0,1,0.0,1,0,0,0,1,True,False,False,False
